Selection,Scenario name,vehYear,vehPtType,dragCoef,frontalAreaM2,gliderKg,vehCgM,driveAxleWeightFrac,wheelBaseM,cargoKg,vehOverrideKg,maxFuelStorKw,fuelStorSecsToPeakPwr,fuelStorKwh,fuelStorKwhPerKg,maxFuelConvKw,fcEffMap,fcEffType,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,mcPwrOutPerc,maxMotorKw,motorSecsToPeakPwr,stopStart,mcPeKgPerKw,mcPeBaseKg,maxEssKw,maxEssKwh,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,wheelInertiaKgM2,numWheels,wheelRrCoef,wheelRadiusM,wheelCoefOfFric,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,auxKw,forceAuxOnFC,transKg,transEff,compMassMultiplier,essToFuelOkError,maxRegen,valUddsMpgge,valHwyMpgge,valCombMpgge,valUddsKwhPerMile,valHwyKwhPerMile,valCombKwhPerMile,valCdRangeMi,valConst65MphKwhPerMile,valConst60MphKwhPerMile,valConst55MphKwhPerMile,valConst45MphKwhPerMile,valUnadjUddsKwhPerMile,valUnadjHwyKwhPerMile,val0To60Mph,valEssLifeMiles,valRangeMiles,valVehBaseCost,valMsrp,minFcTimeOn,idleFcKw,mcEffMap
11,2022 Tesla Model X Plaid (22 inch wheels),2022,BEV,0.286527494,2.852742359,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",758,4,FALSE,0.833,21.6,833.8,100,8,75,0.97,110,-0.6811,0.815,4,0.009275267,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
12,2022 BMW iX xDrive50 (21 inch wheels),2022,BEV,0.303935643,2.856553642,0,-0.53,0.59,2.6,0,2721.552,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",422,4,FALSE,0.833,21.6,464.2,111.5,8,75,0.97,110,-0.6811,0.815,4,0.008393913,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
13,2022 Porsche Taycan Perf Battery,2022,BEV,0.29258315,2.35570174,0,-0.53,0.59,2.6,0,2267.96,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",300,4,FALSE,0.833,21.6,330,79,8,75,0.97,110,-0.6811,0.815,4,0.008977499,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
14,2022 Tesla Model 3 Long Range AWD,2022,BEV,0.259812742,2.267598045,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",329,4,FALSE,0.833,21.6,361.9,82,8,75,0.97,110,-0.6811,0.815,4,0.008472984,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
15,2022 Porsche Taycan 4 Cross Turismo,2022,BEV,0.34201855,2.35570174,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",350,4,FALSE,0.833,21.6,385,93.4,8,75,0.97,110,-0.6811,0.815,4,0.008899794,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
16,2022 Polestar 2 Dual Motor,2022,BEV,0.303982504,2.336255973,0,-0.53,0.59,2.6,0,2267.96,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",304,4,FALSE,0.833,21.6,334.4,78,8,75,0.97,110,-0.6811,0.815,4,0.007492418,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
17,2022 Tesla Model Y Performance AWD,2022,BEV,0.254212968,2.653310822,0,-0.53,0.59,2.6,0,2154.562,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",342,4,FALSE,0.833,21.6,376.2,78,8,75,0.97,110,-0.6811,0.815,4,0.010055692,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
18,2022 Tesla Model S Plaid (21 inch wheels),2022,BEV,0.26858391,2.414357107,0,-0.53,0.59,2.6,0,2267.96,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",758,4,FALSE,0.833,21.6,833.8,100,8,75,0.97,110,-0.6811,0.815,4,0.010178808,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
19,2022 Nissan Leaf (40 kW-hr battery pack),2022,BEV,0.372012255,2.373798478,0,-0.53,0.59,2.6,0,1757.669,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",110,4,FALSE,0.833,21.6,121,40,8,75,0.97,110,-0.6811,0.815,4,0.007982609,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
20,2022 Lucid Air Dream R AWD w/21 inch wheels,2022,BEV,0.227288864,2.330591145,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",696,4,FALSE,0.833,21.6,765.6,118,8,75,0.97,110,-0.6811,0.815,4,0.007465117,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
21,2022 Porsche Taycan Perf Battery Plus,2022,BEV,0.292625583,2.35570174,0,-0.53,0.59,2.6,0,2381.358,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",350,4,FALSE,0.833,21.6,385,93.4,8,75,0.97,110,-0.6811,0.815,4,0.008548359,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
22,2022 Porsche Taycan 4S Perf Battery Plus,2022,BEV,0.277207022,2.35570174,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",495,4,FALSE,0.833,21.6,544.5,93.4,8,75,0.97,110,-0.6811,0.815,4,0.009059852,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
23,2022 Chevrolet Bolt EV,2022,BEV,0.287590934,2.791844094,0,-0.53,0.59,2.6,0,1757.669,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",150,4,FALSE,0.833,21.6,165,65,8,75,0.97,110,-0.6811,0.815,4,0.007853602,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
24,2022 Tesla Model Y RWD,2022,BEV,0.255624688,2.653310822,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",228,4,FALSE,0.833,21.6,250.8,61,8,75,0.97,110,-0.6811,0.815,4,0.007585219,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
25,2022 BMW iX xDrive50 (22 inch wheels),2022,BEV,0.3029992,2.87777618,0,-0.53,0.59,2.6,0,2721.552,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",422,4,FALSE,0.833,21.6,464.2,111.5,8,75,0.97,110,-0.6811,0.815,4,0.007716649,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
26,2022 Volvo C40 Recharge twin,2022,BEV,0.379266454,2.4871718,0,-0.53,0.59,2.6,0,2267.96,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",300,4,FALSE,0.833,21.6,330,78,8,75,0.97,110,-0.6811,0.815,4,0.007591607,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
27,2022 Mercedes-Benz EQS 580 4matic,2022,BEV,0.261857416,2.477432464,0,-0.53,0.59,2.6,0,2721.552,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",385,4,FALSE,0.833,21.6,423.5,107.8,8,75,0.97,110,-0.6811,0.815,4,0.009192822,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
28,2022 Porsche Taycan GTS ST,2022,BEV,0.341769978,2.358745283,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",510,4,FALSE,0.833,21.6,561,93.4,8,75,0.97,110,-0.6811,0.815,4,0.008134454,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
29,2022 Tesla Model 3 Performance AWD,2022,BEV,0.285854068,2.267598045,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",355,4,FALSE,0.833,21.6,390.5,82,8,75,0.97,110,-0.6811,0.815,4,0.01066798,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
30,2022 Mercedes-Benz AMG EQS 4matic Plus,2022,BEV,0.313914697,2.477432464,0,-0.53,0.59,2.6,0,2948.348,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",484,4,FALSE,0.833,21.6,532.4,107.8,8,75,0.97,110,-0.6811,0.815,4,0.010126076,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
31,2022 MINI Cooper SE Hardtop 2 door,2022,BEV,0.360453984,2.103169987,0,-0.53,0.59,2.6,0,1587.572,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",135,4,FALSE,0.833,21.6,148.5,32.6,8,75,0.97,110,-0.6811,0.815,4,0.009646102,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
32,2022 Porsche Taycan Turbo Cross Turismo,2022,BEV,0.340047538,2.364640432,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",510,4,FALSE,0.833,21.6,561,93.4,8,75,0.97,110,-0.6811,0.815,4,0.010070175,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
33,2022 Ford F-150 Lightning 4WD Extended Range,2022,BEV,0.419262883,3.435089904,0,-0.53,0.59,2.6,0,3175.144,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",433,4,FALSE,0.833,21.6,476.3,131,8,75,0.97,110,-0.6811,0.815,4,0.005859325,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
34,2022 Tesla Model X Plaid (20 inch wheels),2022,BEV,0.294699707,2.852742359,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",758,4,FALSE,0.833,21.6,833.8,100,8,75,0.97,110,-0.6811,0.815,4,0.007510408,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,FALSE,0,0.98,1,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
